tweet_id,favorite_count,retweet_count,source,source_url
875144289856114688,19375,4133,Twitter for iPhone,http://twitter.com/download/iphone
875097192612077568,24178,5096,Twitter for iPhone,http://twitter.com/download/iphone
875021211251597312,22496,3955,Twitter for iPhone,http://twitter.com/download/iphone
874680097055178752,24530,3908,Twitter for iPhone,http://twitter.com/download/iphone
874434818259525634,0,12161,Twitter for iPhone,http://twitter.com/download/iphone
874296783580663808,22895,3472,Twitter for iPhone,http://twitter.com/download/iphone
874057562936811520,20057,3369,Twitter for iPhone,http://twitter.com/download/iphone
874012996292530176,30035,8554,Twitter for iPhone,http://twitter.com/download/iphone
873580283840344065,21319,3333,Twitter for iPhone,http://twitter.com/download/iphone
873337748698140672,0,1327,Twitter for iPhone,http://twitter.com/download/iphone
873213775632977920,6300,1327,Twitter for iPhone,http://twitter.com/download/iphone
872967104147763200,23988,4546,Twitter for iPhone,http://twitter.com/download/iphone
872820683541237760,13038,3158,Twitter for iPhone,http://twitter.com/download/iphone
872620804844003328,18279,3058,Twitter for iPhone,http://twitter.com/download/iphone
872486979161796608,36007,7689,Twitter for iPhone,http://twitter.com/download/iphone
872122724285648897,30118,6806,Twitter for iPhone,http://twitter.com/download/iphone
871879754684805121,32992,9212,Twitter for iPhone,http://twitter.com/download/iphone
871762521631449091,17827,2959,Twitter for iPhone,http://twitter.com/download/iphone
871515927908634625,17848,2927,Twitter for iPhone,http://twitter.com/download/iphone
871166179821445120,0,4880,Twitter for iPhone,http://twitter.com/download/iphone
871102520638267392,18492,4658,Twitter for iPhone,http://twitter.com/download/iphone
871032628920680449,20107,3214,Twitter for iPhone,http://twitter.com/download/iphone
870804317367881728,29721,5266,Twitter for iPhone,http://twitter.com/download/iphone
870726314365509632,105,3,Twitter for iPhone,http://twitter.com/download/iphone
870656317836468226,10860,2190,Twitter for iPhone,http://twitter.com/download/iphone
870374049280663552,73744,22666,Twitter for iPhone,http://twitter.com/download/iphone
870308999962521604,19429,3536,Twitter for iPhone,http://twitter.com/download/iphone
870063196459192321,32328,7052,Twitter for iPhone,http://twitter.com/download/iphone
869772420881756160,37914,8662,Twitter for iPhone,http://twitter.com/download/iphone
869702957897576449,24974,5365,Twitter for iPhone,http://twitter.com/download/iphone
869596645499047938,14149,2629,Twitter for iPhone,http://twitter.com/download/iphone
869227993411051520,18091,3192,Twitter for iPhone,http://twitter.com/download/iphone
868880397819494401,57776,12205,Twitter for iPhone,http://twitter.com/download/iphone
868639477480148993,0,1744,Twitter for iPhone,http://twitter.com/download/iphone
868622495443632128,23582,4447,Twitter for iPhone,http://twitter.com/download/iphone
868552278524837888,8942,1744,Twitter for iPhone,http://twitter.com/download/iphone
867900495410671616,21540,3554,Twitter for iPhone,http://twitter.com/download/iphone
867774946302451713,30177,6228,Twitter for iPhone,http://twitter.com/download/iphone
867421006826221569,14305,2109,Twitter for iPhone,http://twitter.com/download/iphone
867072653475098625,0,100,Twitter for iPhone,http://twitter.com/download/iphone
867051520902168576,28621,6755,Twitter for iPhone,http://twitter.com/download/iphone
866720684873056260,17816,4120,Twitter for iPhone,http://twitter.com/download/iphone
866686824827068416,17079,2953,Twitter for iPhone,http://twitter.com/download/iphone
866450705531457537,108550,30071,Twitter for iPhone,http://twitter.com/download/iphone
866334964761202691,46448,12161,Twitter for iPhone,http://twitter.com/download/iphone
866094527597207552,0,7138,Twitter for iPhone,http://twitter.com/download/iphone
865718153858494464,22859,4818,Twitter for iPhone,http://twitter.com/download/iphone
865359393868664832,23532,4271,Twitter for iPhone,http://twitter.com/download/iphone
865006731092295680,24977,6637,Twitter for iPhone,http://twitter.com/download/iphone
864873206498414592,28771,7477,Twitter for iPhone,http://twitter.com/download/iphone
864279568663928832,13034,2571,Twitter for iPhone,http://twitter.com/download/iphone
864197398364647424,26567,7558,Twitter for iPhone,http://twitter.com/download/iphone
863907417377173506,18388,3579,Twitter for iPhone,http://twitter.com/download/iphone
863553081350529029,13638,3613,Twitter for iPhone,http://twitter.com/download/iphone
863471782782697472,0,2085,Twitter for iPhone,http://twitter.com/download/iphone
863432100342583297,21233,4545,Twitter for iPhone,http://twitter.com/download/iphone
863427515083354112,1955,80,Twitter for iPhone,http://twitter.com/download/iphone
863079547188785154,7881,949,Twitter for iPhone,http://twitter.com/download/iphone
863062471531167744,7503,2085,Twitter for iPhone,http://twitter.com/download/iphone
862831371563274240,17188,4446,Twitter for iPhone,http://twitter.com/download/iphone
862722525377298433,15296,3077,Twitter for iPhone,http://twitter.com/download/iphone
862457590147678208,18229,4232,Twitter for iPhone,http://twitter.com/download/iphone
862096992088072192,66084,19916,Twitter for iPhone,http://twitter.com/download/iphone
861383897657036800,32203,9232,Twitter for iPhone,http://twitter.com/download/iphone
861288531465048066,15312,3576,Twitter for iPhone,http://twitter.com/download/iphone
861005113778896900,14951,3322,Twitter for iPhone,http://twitter.com/download/iphone
860981674716409858,0,1850,Twitter for iPhone,http://twitter.com/download/iphone
860924035999428608,0,676,Twitter for iPhone,http://twitter.com/download/iphone
860563773140209665,6705,1850,Twitter for iPhone,http://twitter.com/download/iphone
860524505164394496,21204,4587,Twitter for iPhone,http://twitter.com/download/iphone
860276583193509888,16537,3057,Twitter for iPhone,http://twitter.com/download/iphone
860184849394610176,14970,5107,Twitter for iPhone,http://twitter.com/download/iphone
860177593139703809,0,26627,Twitter for iPhone,http://twitter.com/download/iphone
859924526012018688,17592,3573,Twitter for iPhone,http://twitter.com/download/iphone
859851578198683649,13950,3060,Twitter for iPhone,http://twitter.com/download/iphone
859607811541651456,16797,1361,Twitter for iPhone,http://twitter.com/download/iphone
859196978902773760,80326,26184,Twitter for iPhone,http://twitter.com/download/iphone
859074603037188101,30347,11925,Twitter for iPhone,http://twitter.com/download/iphone
858860390427611136,0,7057,Twitter for iPhone,http://twitter.com/download/iphone
858843525470990336,14091,3019,Twitter for iPhone,http://twitter.com/download/iphone
858471635011153920,19427,4244,Twitter for iPhone,http://twitter.com/download/iphone
858107933456039936,14200,2534,Twitter for iPhone,http://twitter.com/download/iphone
857989990357356544,14462,2261,Twitter for iPhone,http://twitter.com/download/iphone
857746408056729600,30732,9316,Twitter for iPhone,http://twitter.com/download/iphone
857393404942143489,5294,1436,Twitter for iPhone,http://twitter.com/download/iphone
857263160327368704,18210,3960,Twitter for iPhone,http://twitter.com/download/iphone
857214891891077121,203,16,Twitter for iPhone,http://twitter.com/download/iphone
857062103051644929,0,146,Twitter for iPhone,http://twitter.com/download/iphone
857029823797047296,17008,3473,Twitter for iPhone,http://twitter.com/download/iphone
856543823941562368,14796,2534,Twitter for iPhone,http://twitter.com/download/iphone
856526610513747968,10800,1651,Twitter for iPhone,http://twitter.com/download/iphone
856288084350160898,488,15,Twitter for iPhone,http://twitter.com/download/iphone
856282028240666624,25174,5565,Twitter for iPhone,http://twitter.com/download/iphone
855862651834028034,303,21,Twitter for iPhone,http://twitter.com/download/iphone
855860136149123072,4397,848,Twitter for iPhone,http://twitter.com/download/iphone
855857698524602368,10838,1854,Twitter for iPhone,http://twitter.com/download/iphone
855851453814013952,41820,16082,Twitter for iPhone,http://twitter.com/download/iphone
855818117272018944,24230,4800,Twitter for iPhone,http://twitter.com/download/iphone
855459453768019968,27035,7286,Twitter for iPhone,http://twitter.com/download/iphone
855245323840757760,0,5250,Twitter for iPhone,http://twitter.com/download/iphone
855138241867124737,0,36,Twitter for iPhone,http://twitter.com/download/iphone
854732716440526848,20633,5331,Twitter for iPhone,http://twitter.com/download/iphone
854482394044301312,26516,6001,Twitter for iPhone,http://twitter.com/download/iphone
854365224396361728,17158,4135,Twitter for iPhone,http://twitter.com/download/iphone
854120357044912130,29166,6574,Twitter for iPhone,http://twitter.com/download/iphone
854010172552949760,14808,2785,Twitter for iPhone,http://twitter.com/download/iphone
853760880890318849,26019,5105,Twitter for iPhone,http://twitter.com/download/iphone
853639147608842240,31471,8843,Twitter for iPhone,http://twitter.com/download/iphone
853299958564483072,14134,3162,Twitter for iPhone,http://twitter.com/download/iphone
852936405516943360,0,1783,Twitter for iPhone,http://twitter.com/download/iphone
852912242202992640,8230,1593,Twitter for iPhone,http://twitter.com/download/iphone
852672615818899456,13619,1905,Twitter for iPhone,http://twitter.com/download/iphone
852553447878664193,14867,3102,Twitter for iPhone,http://twitter.com/download/iphone
852311364735569921,30289,8847,Twitter for iPhone,http://twitter.com/download/iphone
852226086759018497,18313,6074,Twitter Web Client,http://twitter.com
852189679701164033,10557,1416,Twitter for iPhone,http://twitter.com/download/iphone
851591660324737024,14928,3122,Twitter for iPhone,http://twitter.com/download/iphone
851464819735769094,22228,6293,Twitter for iPhone,http://twitter.com/download/iphone
851224888060895234,18996,5161,Twitter for iPhone,http://twitter.com/download/iphone
850753642995093505,28082,8058,Twitter for iPhone,http://twitter.com/download/iphone
850380195714523136,12054,2325,Twitter for iPhone,http://twitter.com/download/iphone
850333567704068097,3182,301,Twitter for iPhone,http://twitter.com/download/iphone
850145622816686080,15020,3387,Twitter for iPhone,http://twitter.com/download/iphone
850019790995546112,18744,4357,Twitter for iPhone,http://twitter.com/download/iphone
849776966551130114,27872,6800,Twitter for iPhone,http://twitter.com/download/iphone
849668094696017920,0,4435,Twitter for iPhone,http://twitter.com/download/iphone
849412302885593088,14654,2822,Twitter for iPhone,http://twitter.com/download/iphone
849336543269576704,10542,1684,Twitter for iPhone,http://twitter.com/download/iphone
849051919805034497,38929,7604,Twitter for iPhone,http://twitter.com/download/iphone
848690551926992896,23231,3914,Twitter for iPhone,http://twitter.com/download/iphone
848324959059550208,22788,4143,Twitter for iPhone,http://twitter.com/download/iphone
848213670039564288,7533,644,Twitter for iPhone,http://twitter.com/download/iphone
